"","emoji.counts","unicode","bytes","description"
"805",0,"U+1F318","\xF0\x9F\x8C\x98","waning crescent moon symbol"
"806",0,"U+1F34B","\xF0\x9F\x8D\x8B","lemon"
"807",0,"U+1F350","\xF0\x9F\x8D\x90","pear"
"808",0,"U+1F3C7","\xF0\x9F\x8F\x87","horse racing"
"809",0,"U+1F400","\xF0\x9F\x90\x80","rat"
"810",0,"U+1F401","\xF0\x9F\x90\x81","mouse"
"811",0,"U+1F402","\xF0\x9F\x90\x82","ox"
"812",0,"U+1F403","\xF0\x9F\x90\x83","water buffalo"
"813",0,"U+1F404","\xF0\x9F\x90\x84","cow"
"814",0,"U+1F405","\xF0\x9F\x90\x85","tiger"
"815",0,"U+1F407","\xF0\x9F\x90\x87","rabbit"
"816",0,"U+1F408","\xF0\x9F\x90\x88","cat"
"817",0,"U+1F409","\xF0\x9F\x90\x89","dragon"
"818",0,"U+1F40F","\xF0\x9F\x90\x8F","ram"
"819",0,"U+1F415","\xF0\x9F\x90\x95","dog"
"820",0,"U+1F416","\xF0\x9F\x90\x96","pig"
"821",0,"U+1F42A","\xF0\x9F\x90\xAA","dromedary camel"
"822",0,"U+1F465","\xF0\x9F\x91\xA5","busts in silhouette"
"823",0,"U+1F4B6","\xF0\x9F\x92\xB6","banknote with euro sign"
"824",0,"U+1F4B7","\xF0\x9F\x92\xB7","banknote with pound sign"
"825",0,"U+1F4ED","\xF0\x9F\x93\xAD","open mailbox with lowered flag"
"826",0,"U+1F4F5","\xF0\x9F\x93\xB5","no mobile phones"
"827",0,"U+1F500","\xF0\x9F\x94\x80","twisted rightwards arrows"
"828",0,"U+1F504","\xF0\x9F\x94\x84","anticlockwise downwards and upwards open circle arrows"
"829",0,"U+1F507","\xF0\x9F\x94\x87","speaker with cancellation stroke"
"830",0,"U+1F509","\xF0\x9F\x94\x89","speaker with one sound wave"
"831",0,"U+1F515","\xF0\x9F\x94\x95","bell with cancellation stroke"
"832",0,"U+1F52C","\xF0\x9F\x94\xAC","microscope"
"833",0,"U+1F55C","\xF0\x9F\x95\x9C","clock face one-thirty"
"834",0,"U+1F55D","\xF0\x9F\x95\x9D","clock face two-thirty"
"835",0,"U+1F55E","\xF0\x9F\x95\x9E","clock face three-thirty"
"836",0,"U+1F55F","\xF0\x9F\x95\x9F","clock face four-thirty"
"837",0,"U+1F560","\xF0\x9F\x95\xA0","clock face five-thirty"
"838",0,"U+1F561","\xF0\x9F\x95\xA1","clock face six-thirty"
"839",0,"U+1F562","\xF0\x9F\x95\xA2","clock face seven-thirty"
"840",0,"U+1F563","\xF0\x9F\x95\xA3","clock face eight-thirty"
"841",0,"U+1F564","\xF0\x9F\x95\xA4","clock face nine-thirty"
"842",0,"U+1F565","\xF0\x9F\x95\xA5","clock face ten-thirty"
"843",0,"U+1F566","\xF0\x9F\x95\xA6","clock face eleven-thirty"
