"","created","screenName","text","ID","map.info.A","map.info.B","emoji.counts","unicode","bytes","description","latitude","longitude"
"49124","June 02, 2015 at 01:23AM","@willyipmusic","“@katiiiiiejo: Congrats to the most creative person on this planet @willyipmusic 🎉👍👏” thank you!","http://twitter.com/willyipmusic/status/605605543718350848","http://maps.google.com/maps/api/staticmap?center=40.07387994,-75.3051341&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C40.07387994,-75.3051341","https://maps.google.com/?q=40.07387994,-75.3051341&z=14",39,"U+1F44F","\xF0\x9F\x91\x8F","clapping hands sign",40.07387994,-75.3051341
"48917","June 02, 2015 at 01:23AM","@willyipmusic","“@katiiiiiejo: Congrats to the most creative person on this planet @willyipmusic 🎉👍👏” thank you!","http://twitter.com/willyipmusic/status/605605543718350848","http://maps.google.com/maps/api/staticmap?center=40.07387994,-75.3051341&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C40.07387994,-75.3051341","https://maps.google.com/?q=40.07387994,-75.3051341&z=14",34,"U+1F44D","\xF0\x9F\x91\x8D","thumbs up sign",40.07387994,-75.3051341
"36535","June 02, 2015 at 01:23AM","@willyipmusic","“@katiiiiiejo: Congrats to the most creative person on this planet @willyipmusic 🎉👍👏” thank you!","http://twitter.com/willyipmusic/status/605605543718350848","http://maps.google.com/maps/api/staticmap?center=40.07387994,-75.3051341&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C40.07387994,-75.3051341","https://maps.google.com/?q=40.07387994,-75.3051341&z=14",73,"U+1F389","\xF0\x9F\x8E\x89","party popper",40.07387994,-75.3051341
"6732","June 02, 2015 at 01:04AM","@ace_goblin215","Black &amp; white cuz this loyalty go way back.🔛🔝🔜 @ We Around "" https://t.co/XShqNowkOr","http://twitter.com/ace_goblin215/status/605600748068605953","http://maps.google.com/maps/api/staticmap?center=39.9495086,-75.23857735&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.9495086,-75.23857735","https://maps.google.com/?q=39.9495086,-75.23857735&z=14",2,"U+1F51D","\xF0\x9F\x94\x9D","top with upwards arrow above",39.9495086,-75.23857735
"6722","June 02, 2015 at 01:04AM","@ace_goblin215","Black &amp; white cuz this loyalty go way back.🔛🔝🔜 @ We Around "" https://t.co/XShqNowkOr","http://twitter.com/ace_goblin215/status/605600748068605953","http://maps.google.com/maps/api/staticmap?center=39.9495086,-75.23857735&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.9495086,-75.23857735","https://maps.google.com/?q=39.9495086,-75.23857735&z=14",2,"U+1F51C","\xF0\x9F\x94\x9C","soon with rightwards arrow above",39.9495086,-75.23857735
"671","June 02, 2015 at 01:04AM","@ace_goblin215","Black &amp; white cuz this loyalty go way back.🔛🔝🔜 @ We Around "" https://t.co/XShqNowkOr","http://twitter.com/ace_goblin215/status/605600748068605953","http://maps.google.com/maps/api/staticmap?center=39.9495086,-75.23857735&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.9495086,-75.23857735","https://maps.google.com/?q=39.9495086,-75.23857735&z=14",2,"U+1F51B","\xF0\x9F\x94\x9B","on with exclamation mark with left right arrow above",39.9495086,-75.23857735
"33179","June 02, 2015 at 12:59AM","@dagurlni","@miles27st yo stfup😭😭","http://twitter.com/dagurlni/status/605599515538636800","http://maps.google.com/maps/api/staticmap?center=39.9366247,-75.1897255&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.9366247,-75.1897255","https://maps.google.com/?q=39.9366247,-75.1897255&z=14",302,"U+1F62D","\xF0\x9F\x98\xAD","loudly crying face",39.9366247,-75.1897255
"33178","June 02, 2015 at 12:58AM","@Lij_Washington","iPhone battery is the worst 😭","http://twitter.com/Lij_Washington/status/605599334542024704","http://maps.google.com/maps/api/staticmap?center=39.93487351,-75.22228725&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.93487351,-75.22228725","https://maps.google.com/?q=39.93487351,-75.22228725&z=14",302,"U+1F62D","\xF0\x9F\x98\xAD","loudly crying face",39.93487351,-75.22228725
"1513","June 02, 2015 at 12:56AM","@215Reggie","I miss those late night conversation until I fell asleep 😓 gn ppl","http://twitter.com/215Reggie/status/605598747289075712","http://maps.google.com/maps/api/staticmap?center=39.97535677,-75.25270415&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.97535677,-75.25270415","https://maps.google.com/?q=39.97535677,-75.25270415&z=14",28,"U+1F613","\xF0\x9F\x98\x93","face with cold sweat",39.97535677,-75.25270415
"30221","June 02, 2015 at 12:55AM","@dagurlni","ima b up all night with noone to tlk to😩","http://twitter.com/dagurlni/status/605598530011426816","http://maps.google.com/maps/api/staticmap?center=39.9365764,-75.1895396&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.9365764,-75.1895396","https://maps.google.com/?q=39.9365764,-75.1895396&z=14",378,"U+1F629","\xF0\x9F\x98\xA9","weary face",39.9365764,-75.1895396
"5895","June 02, 2015 at 12:50AM","@daSTARtender","I Am Music @ 💵$2 Tuesdays @ Renaissance💰🍸🍹 https://t.co/1LYTAkRXEk","http://twitter.com/daSTARtender/status/605597207211962368","http://maps.google.com/maps/api/staticmap?center=39.96651546,-75.14767632&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.96651546,-75.14767632","https://maps.google.com/?q=39.96651546,-75.14767632&z=14",13,"U+1F4B5","\xF0\x9F\x92\xB5","banknote with dollar sign",39.96651546,-75.14767632
"58412","June 02, 2015 at 12:50AM","@daSTARtender","I Am Music @ 💵$2 Tuesdays @ Renaissance💰🍸🍹 https://t.co/1LYTAkRXEk","http://twitter.com/daSTARtender/status/605597207211962368","http://maps.google.com/maps/api/staticmap?center=39.96651546,-75.14767632&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.96651546,-75.14767632","https://maps.google.com/?q=39.96651546,-75.14767632&z=14",22,"U+1F4B0","\xF0\x9F\x92\xB0","money bag",39.96651546,-75.14767632
